ONS,NUM
E06000001,44471
E06000002,65880
E06000003,56153
E06000004,86529
E06000005,48900
E06000006,47720
E06000007,79439
E06000008,61238
E06000009,78641
E06000010,118861
E06000011,135897
E06000012,64564
E06000013,63258
E06000014,75170
E06000015,106231
E06000016,139786
E06000017,14861
E06000018,177461
E06000019,74840
E06000020,72187
E06000021,102165
E06000022,73438
E06000023,196248
E06000024,90467
E06000025,101147
E06000026,118424
E06000027,61711
E06000030,86878
E06000031,91536
E06000032,76815
E06000033,72207
E06000034,60680
E06000035,106382
E06000036,46892
E06000037,59903
E06000038,72628
E06000039,52036
E06000040,58392
E06000041,61275
E06000042,115046
E06000043,137046
E06000044,92801
E06000045,111878
E06000046,64259
E06000047,246699
E06000049,158894
E06000050,134634
E06000051,126488
E06000052,258638
E06000053,939
E06000054,194769
E06000055,73721
E06000056,112276
E06000057,136166
E06000058,174116
E06000059,148600
E06000060,41891
E06000061,16561
E06000062,19436
E07000004,63477
E07000005,26093
E07000006,23144
E07000007,57139
E07000008,55240
E07000009,35275
E07000010,40695
E07000011,71078
E07000012,65006
E07000026,39777
E07000027,28056
E07000028,44724
E07000029,26028
E07000030,24065
E07000031,44851
E07000032,46753
E07000033,31363
E07000034,40658
E07000035,29143
E07000036,41948
E07000037,32811
E07000038,37469
E07000039,39265
E07000040,62880
E07000041,52117
E07000042,32267
E07000043,43606
E07000044,40811
E07000045,55521
E07000046,30981
E07000047,23445
E07000061,47423
E07000062,48796
E07000063,39839
E07000064,42334
E07000065,60384
E07000066,62712
E07000067,56011
E07000068,28315
E07000069,27592
E07000070,65330
E07000071,81209
E07000072,48305
E07000073,37682
E07000074,22838
E07000075,27199
E07000076,63518
E07000077,32491
E07000078,52677
E07000079,40265
E07000080,31967
E07000081,52344
E07000082,46234
E07000083,34976
E07000084,71846
E07000085,46884
E07000086,50780
E07000087,38464
E07000088,34678
E07000089,35139
E07000090,46378
E07000091,65232
E07000092,39137
E07000093,42613
E07000094,49992
E07000095,33639
E07000096,58509
E07000098,36409
E07000099,52663
E07000102,31752
E07000103,38826
E07000105,50319
E07000106,63978
E07000107,41233
E07000108,48237
E07000109,37292
E07000110,69870
E07000111,39319
E07000112,50462
E07000113,56068
E07000114,71554
E07000115,45923
E07000116,47111
E07000117,44110
E07000118,43156
E07000119,39001
E07000120,34947
E07000121,57977
E07000122,40583
E07000123,65040
E07000124,23101
E07000125,27761
E07000126,38958
E07000127,39570
E07000128,45689
E07000129,32675
E07000130,65840
E07000131,35543
E07000132,42663
E07000133,19911
E07000134,43832
E07000135,19217
E07000136,30546
E07000137,65868
E07000138,42898
E07000139,46834
E07000140,36550
E07000141,62297
E07000142,41074
E07000143,54939
E07000144,46987
E07000145,41888
E07000146,68369
E07000147,47969
E07000148,68580
E07000149,53948
E07000150,23661
E07000151,28184
E07000152,33018
E07000153,37307
E07000154,79881
E07000155,30032
E07000156,25755
E07000163,22351
E07000164,39068
E07000165,67692
E07000166,21230
E07000167,24424
E07000168,52123
E07000169,34283
E07000170,48950
E07000171,52227
E07000172,38655
E07000173,48095
E07000174,42424
E07000175,50633
E07000176,44774
E07000177,61431
E07000178,64023
E07000179,52510
E07000180,54782
E07000181,44902
E07000187,45191
E07000188,55890
E07000189,70873
E07000192,37719
E07000193,48893
E07000194,37785
E07000195,42872
E07000196,34218
E07000197,51974
E07000198,34352
E07000199,26500
E07000200,35190
E07000202,57833
E07000203,38919
E07000207,54903
E07000208,27433
E07000209,53460
E07000210,31485
E07000211,59156
E07000212,34161
E07000213,37566
E07000214,31909
E07000215,31080
E07000216,46607
E07000217,42221
E07000218,27046
E07000219,48319
E07000220,42784
E07000221,65866
E07000222,63852
E07000223,22325
E07000224,69733
E07000225,52316
E07000226,37230
E07000227,55606
E07000228,58963
E07000229,46492
E07000234,34345
E07000235,32257
E07000236,30229
E07000237,43457
E07000238,53478
E07000239,36696
E07000240,55749
E07000241,40908
E07000242,53980
E07000243,31878
E07000244,100688
E07000245,75738
E07000246,67688
E08000001,111489
E08000002,72324
E08000003,274953
E08000004,92691
E08000005,84217
E08000006,143426
E08000007,106916
E08000008,96155
E08000009,85688
E08000010,122539
E08000011,68469
E08000012,227514
E08000013,67459
E08000014,116614
E08000015,134189
E08000016,91878
E08000017,124431
E08000018,97236
E08000019,213536
E08000021,124714
E08000022,84589
E08000023,63244
E08000024,150270
E08000025,438170
E08000026,139551
E08000027,104557
E08000028,114076
E08000029,77411
E08000030,105618
E08000031,98714
E08000032,232238
E08000033,89638
E08000034,159014
E08000035,354790
E08000036,173931
E08000037,79429
E09000001,7633
E09000002,78243
E09000003,149722
E09000004,90621
E09000005,122029
E09000006,120425
E09000007,110694
E09000008,149043
E09000009,137431
E09000010,121365
E09000011,118132
E09000012,114004
E09000013,98787
E09000014,120452
E09000015,81714
E09000016,85188
E09000017,104350
E09000018,94427
E09000019,109533
E09000020,101415
E09000021,68081
E09000022,153206
E09000023,128574
E09000024,84044
E09000025,126869
E09000026,94947
E09000027,78153
E09000028,142178
E09000029,76469
E09000030,156124
E09000031,111225
E09000032,165634
E09000033,145753
W06000001,32671
W06000002,46466
W06000003,52048
W06000004,41444
W06000005,55321
W06000006,45794
W06000008,32697
W06000009,49735
W06000010,70106
W06000011,90920
W06000012,62903
W06000013,52228
W06000014,52739
W06000015,155600
W06000016,88611
W06000018,63730
W06000019,25470
W06000020,34596
W06000021,36203
W06000022,64350
W06000023,52703
W06000024,27398
